0X04FF00 0X00
0X04FF01 0X96
0X04FF02 0XC4
0X04FF03 0XC1
0X04FF04 0XC6
0X04FF05 0XE0
0X04FF06 0XFC
0X04FF07 0XCC
0X04FF08 0XEF
0X04FF09 0X30
0X04FF0A 0X07
0X04FF0B 0X98
0X04FF0C 0X21
0X04FF0D 0X25
0X04FF0E 0X9F
0X04FF0F 0X1C
0X04FF10 0XA8
0X04FF11 0XF6
0X04FF12 0XC6
0X04FF13 0X13
0X04FF14 0X59
0X04FF15 0XD5
0X04FF16 0X67
0X04FF17 0XB9
0X04FF18 0XF5
0X04FF19 0X77
0X04FF1A 0XBD
0X04FF1B 0XCA
0X04FF1C 0XB8
0X04FF1D 0X54
0X04FF1E 0XB7
0X04FF1F 0XD7
0X04FF20 0XE0
0X04FF21 0XD1
0X04FF22 0X3E
0X04FF23 0X44
0X04FF24 0X58
0X04FF25 0XC4
0X04FF26 0XD1
0X04FF27 0XD4
0X04FF28 0X34
0X04FF29 0XB6
0X04FF2A 0X0A
0X04FF2B 0X0B
0X04FF2C 0X96
0X04FF2D 0X64
0X04FF2E 0XC6
0X04FF2F 0X7B
0X04FF30 0X80
0X04FF31 0XF2
0X04FF32 0X0A
0X04FF33 0X2C
0X04FF34 0XA2
0X04FF35 0XF5
0X04FF36 0X9B
0X04FF37 0X71
0X04FF38 0X13
0X04FF39 0XDC
0X04FF3A 0XD9
0X04FF3B 0XFF
0X04FF3C 0XAF
0X04FF3D 0X5D
0X04FF3E 0XE9
0X04FF3F 0XC7
0X04FF40 0XD4
0X04FF41 0X81
0X04FF42 0X4C
0X04FF43 0X0F
0X04FF44 0X64
0X04FF45 0X93
0X04FF46 0X8B
0X04FF47 0X9A
0X04FF48 0X1B
0X04FF49 0X20
0X04FF4A 0X84
0X04FF4B 0XF8
0X04FF4C 0X48
0X04FF4D 0X40
0X04FF4E 0XFA
0X04FF4F 0X85
0X04FF50 0XE2
0X04FF51 0XC6
0X04FF52 0XD9
0X04FF53 0X4B
0X04FF54 0X5A
0X04FF55 0X0C
0X04FF56 0XA6
0X04FF57 0X87
0X04FF58 0XF1
0X04FF59 0XD4
0X04FF5A 0XEF
0X04FF5B 0X93
0X04FF5C 0X16
0X04FF5D 0X92
0X04FF5E 0X64
0X04FF5F 0X1E
0X04FF60 0X7D
0X04FF61 0X89
0X04FF62 0XFA
0X04FF63 0XCF
0X04FF64 0X41
0X04FF65 0X1D
0X04FF66 0XE0
0X04FF67 0X43
0X04FF68 0XA8
0X04FF69 0X67
0X04FF6A 0X79
0X04FF6B 0XE1
0X04FF6C 0X77
0X04FF6D 0XF1
0X04FF6E 0X76
0X04FF6F 0XC6
0X04FF70 0XE2
0X04FF71 0X01
0X04FF72 0X9A
0X04FF73 0X62
0X04FF74 0X5F
0X04FF75 0XFA
0X04FF76 0XCE
0X04FF77 0X9E
0X04FF78 0XDB
0X04FF79 0XC1
0X04FF7A 0X73
0X04FF7B 0XE6
0X04FF7C 0X2A
0X04FF7D 0X32
0X04FF7E 0X8B
0X04FF7F 0XE0
0X04FF80 0X8D
0X04FF81 0X61
0X04FF82 0XDD
0X04FF83 0X07
0X04FF84 0XA9
0X04FF85 0XC6
0X04FF86 0X44
0X04FF87 0X4B
0X04FF88 0X1A
0X04FF89 0XFC
0X04FF8A 0X11
0X04FF8B 0XFD
0X04FF8C 0X65
0X04FF8D 0X83
0X04FF8E 0X7E
0X04FF8F 0XE4
0X04FF90 0X67
0X04FF91 0XAB
0X04FF92 0X70
0X04FF93 0X12
0X04FF94 0X39
0X04FF95 0X64
0X04FF96 0XCA
0X04FF97 0XBB
0X04FF98 0X7D
0X04FF99 0X59
0X04FF9A 0XC7
0X04FF9B 0XDC
0X04FF9C 0XE0
0X04FF9D 0XC6
0X04FF9E 0X84
0X04FF9F 0X17
0X04FFA0 0XC6
0X04FFA1 0X09
0X04FFA2 0X66
0X04FFA3 0XAF
0X04FFA4 0XD4
0X04FFA5 0XF7
0X04FFA6 0XB8
0X04FFA7 0X23
0X04FFA8 0XC9
0X04FFA9 0X7D
0X04FFAA 0XB3
0X04FFAB 0X14
0X04FFAC 0X34
0X04FFAD 0XB8
0X04FFAE 0X58
0X04FFAF 0X20
0X04FFB0 0X5A
0X04FFB1 0XFC
0X04FFB2 0X78
0X04FFB3 0XE5
0X04FFB4 0X3C
0X04FFB5 0XFD
0X04FFB6 0XE1
0X04FFB7 0X39
0X04FFB8 0X78
0X04FFB9 0X16
0X04FFBA 0XAC
0X04FFBB 0X51
0X04FFBC 0X46
0X04FFBD 0X1F
0X04FFBE 0X0E
0X04FFBF 0XD3
0X04FFC0 0X60
0X04FFC1 0X64
0X04FFC2 0XC6
0X04FFC3 0X19
0X04FFC4 0X1B
0X04FFC5 0X8C
0X04FFC6 0X98
0X04FFC7 0X1B
0X04FFC8 0X12
0X04FFC9 0XAE
0X04FFCA 0X04
0X04FFCB 0X69
0X04FFCC 0X24
0X04FFCD 0XE8
0X04FFCE 0X2F
0X04FFCF 0XCD
0X04FFD0 0XC6
0X04FFD1 0X51
0X04FFD2 0X5A
0X04FFD3 0X66
0X04FFD4 0XC6
0X04FFD5 0X2B
0X04FFD6 0X68
0X04FFD7 0X1B
0X04FFD8 0XFF
0X04FFD9 0X5E
0X04FFDA 0X1E
0X04FFDB 0X4F
0X04FFDC 0XF2
0X04FFDD 0XF4
0X04FFDE 0XA8
0X04FFDF 0XC0
0X04FFE0 0X06
0X04FFE1 0XFE
0X04FFE2 0X4D
0X04FFE3 0X46
0X04FFE4 0XD9
0X04FFE5 0XF3
0X04FFE6 0XC0
0X04FFE7 0X9C
0X04FFE8 0X12
0X04FFE9 0X86
0X04FFEA 0X2E
0X04FFEB 0X9C
0X04FFEC 0XDE
0X04FFED 0XA7
0X04FFEE 0X7C
0X04FFEF 0XA4
0X04FFF0 0XB3
0X04FFF1 0X3F
0X04FFF2 0X20
0X04FFF3 0XD2
0X04FFF4 0X5F
0X04FFF5 0X35
0X04FFF6 0XFE
0X04FFF7 0X3B
0X04FFF8 0XF3
0X04FFF9 0X08
0X04FFFA 0X03
0X04FFFB 0X9F
0X04FFFC 0XD4
0X04FFFD 0X63
0X04FFFE 0XC9
0X04FFFF 0XE0
