0X06FF00 0XE7
0X06FF01 0XFE
0X06FF02 0XED
0X06FF03 0X96
0X06FF04 0X92
0X06FF05 0X1A
0X06FF06 0X10
0X06FF07 0X57
0X06FF08 0X09
0X06FF09 0X2A
0X06FF0A 0X3D
0X06FF0B 0X1B
0X06FF0C 0X2A
0X06FF0D 0X95
0X06FF0E 0X8B
0X06FF0F 0XEE
0X06FF10 0X55
0X06FF11 0X1E
0X06FF12 0XC0
0X06FF13 0X33
0X06FF14 0X89
0X06FF15 0X33
0X06FF16 0X74
0X06FF17 0X4C
0X06FF18 0XDD
0X06FF19 0XE8
0X06FF1A 0X1F
0X06FF1B 0XAB
0X06FF1C 0XC4
0X06FF1D 0X20
0X06FF1E 0XEE
0X06FF1F 0X97
0X06FF20 0X46
0X06FF21 0XE2
0X06FF22 0X69
0X06FF23 0X8D
0X06FF24 0X05
0X06FF25 0XC5
0X06FF26 0XC4
0X06FF27 0X17
0X06FF28 0X41
0X06FF29 0X68
0X06FF2A 0XC2
0X06FF2B 0X24
0X06FF2C 0XF2
0X06FF2D 0X8B
0X06FF2E 0XAF
0X06FF2F 0XB4
0X06FF30 0XCE
0X06FF31 0X19
0X06FF32 0X2E
0X06FF33 0XCC
0X06FF34 0X68
0X06FF35 0XD8
0X06FF36 0XD4
0X06FF37 0X6B
0X06FF38 0XD6
0X06FF39 0X47
0X06FF3A 0X25
0X06FF3B 0XD5
0X06FF3C 0XD6
0X06FF3D 0XFE
0X06FF3E 0X29
0X06FF3F 0XB1
0X06FF40 0XAF
0X06FF41 0XD5
0X06FF42 0X80
0X06FF43 0X52
0X06FF44 0X93
0X06FF45 0XE3
0X06FF46 0XC9
0X06FF47 0X79
0X06FF48 0X93
0X06FF49 0X73
0X06FF4A 0X07
0X06FF4B 0X8D
0X06FF4C 0X67
0X06FF4D 0XAE
0X06FF4E 0X3B
0X06FF4F 0XA9
0X06FF50 0XEE
0X06FF51 0X26
0X06FF52 0X1B
0X06FF53 0X33
0X06FF54 0XD9
0X06FF55 0XAA
0X06FF56 0X55
0X06FF57 0X3F
0X06FF58 0X97
0X06FF59 0X07
0X06FF5A 0X68
0X06FF5B 0XF2
0X06FF5C 0X38
0X06FF5D 0XB7
0X06FF5E 0X4B
0X06FF5F 0XB8
0X06FF60 0XF8
0X06FF61 0XFB
0X06FF62 0X75
0X06FF63 0X0E
0X06FF64 0X49
0X06FF65 0X86
0X06FF66 0XF4
0X06FF67 0XF8
0X06FF68 0X8D
0X06FF69 0X79
0X06FF6A 0XEC
0X06FF6B 0X1F
0X06FF6C 0X16
0X06FF6D 0XBA
0X06FF6E 0X31
0X06FF6F 0XCB
0X06FF70 0XD5
0X06FF71 0X4C
0X06FF72 0XC4
0X06FF73 0X54
0X06FF74 0XC4
0X06FF75 0X11
0X06FF76 0XFC
0X06FF77 0X76
0X06FF78 0X76
0X06FF79 0X55
0X06FF7A 0XC4
0X06FF7B 0X31
0X06FF7C 0XDC
0X06FF7D 0XFB
0X06FF7E 0X6D
0X06FF7F 0X7F
0X06FF80 0X5B
0X06FF81 0X1E
0X06FF82 0XAB
0X06FF83 0X98
0X06FF84 0XBC
0X06FF85 0X07
0X06FF86 0X6E
0X06FF87 0XA3
0X06FF88 0X05
0X06FF89 0X09
