0X0FFF00 0X99
0X0FFF01 0X2A
0X0FFF02 0XD2
0X0FFF03 0X77
0X0FFF04 0XE5
0X0FFF05 0XC1
0X0FFF06 0XBE
0X0FFF07 0X02
0X0FFF08 0X75
0X0FFF09 0XAC
0X0FFF0A 0X00
0X0FFF0B 0XFF
0X0FFF0C 0X02
0X0FFF0D 0X30
0X0FFF0E 0X82
0X0FFF0F 0XD7
0X0FFF10 0XB2
0X0FFF11 0X81
0X0FFF12 0X14
0X0FFF13 0XA8
0X0FFF14 0X2D
0X0FFF15 0X6B
0X0FFF16 0XAA
0X0FFF17 0X21
0X0FFF18 0X12
0X0FFF19 0X6C
0X0FFF1A 0X0F
0X0FFF1B 0X1B
0X0FFF1C 0X85
0X0FFF1D 0XF5
0X0FFF1E 0XCD
0X0FFF1F 0X01
0X0FFF20 0X1C
0X0FFF21 0X64
0X0FFF22 0X93
0X0FFF23 0XC9
0X0FFF24 0X0F
0X0FFF25 0X4E
0X0FFF26 0XCC
0X0FFF27 0XB4
0X0FFF28 0X1F
0X0FFF29 0XCA
0X0FFF2A 0X4E
0X0FFF2B 0XEE
0X0FFF2C 0X1C
0X0FFF2D 0X16
0X0FFF2E 0XCB
0X0FFF2F 0XA3
0X0FFF30 0XB7
0X0FFF31 0XA1
0X0FFF32 0XC6
0X0FFF33 0X78
0X0FFF34 0X5C
0X0FFF35 0XA6
0X0FFF36 0X7A
0X0FFF37 0X9D
0X0FFF38 0X01
0X0FFF39 0XEA
0X0FFF3A 0XD0
0X0FFF3B 0XE3
0X0FFF3C 0X4A
0X0FFF3D 0X38
0X0FFF3E 0XD2
0X0FFF3F 0XE5
0X0FFF40 0X86
0X0FFF41 0X66
0X0FFF42 0XB6
0X0FFF43 0X92
0X0FFF44 0XA7
0X0FFF45 0XB5
0X0FFF46 0X86
0X0FFF47 0XA3
0X0FFF48 0X36
0X0FFF49 0XB0
0X0FFF4A 0X50
0X0FFF4B 0X08
0X0FFF4C 0X49
0X0FFF4D 0X0F
0X0FFF4E 0XD0
0X0FFF4F 0XC0
0X0FFF50 0XC4
0X0FFF51 0X92
0X0FFF52 0X8E
0X0FFF53 0X93
0X0FFF54 0X92
0X0FFF55 0X45
0X0FFF56 0X3E
0X0FFF57 0X56
0X0FFF58 0X2F
0X0FFF59 0X82
0X0FFF5A 0X4C
0X0FFF5B 0X23
0X0FFF5C 0XCD
0X0FFF5D 0XCD
0X0FFF5E 0XB3
0X0FFF5F 0XCD
0X0FFF60 0X6F
0X0FFF61 0XB1
0X0FFF62 0X59
0X0FFF63 0X53
0X0FFF64 0XAA
0X0FFF65 0XF9
0X0FFF66 0XDD
0X0FFF67 0XCD
0X0FFF68 0X63
0X0FFF69 0X28
0X0FFF6A 0X62
0X0FFF6B 0X48
0X0FFF6C 0XCF
0X0FFF6D 0X85
0X0FFF6E 0XEA
0X0FFF6F 0XC6
0X0FFF70 0XDF
0X0FFF71 0XCD
0X0FFF72 0XEA
0X0FFF73 0XFC
